Ticker,Name,Exchange
XQZ17.NYM,PG&E; CityGate Natural Gas Pipel,NYM
SYG1319.NYM,"Natural Gas Waha Swing Futures,",NYM
W5K1301.NYM,W5 Future MAY 01 2013,NYM
Y01V13.CME,Y01 Future OCT 2013,CME
ENG13.NYM,European Naphtha Crack Spread S,NYM
A8XH13.CME,Weather Heating Degree Day Vanc,CME
R2:CCXC3T.SA,CCX CARVAO  -ON      NM,SAO
J8K1316.NYM,J8 Future MAY 16 2013,NYM
NGX13.NYM,Natural Gas Nov 13,NYM
BRX18.CME,Brazillian Real Nov 18,CME
SPU14.CME,S&P; 500 Sep 14,CME
UDN1312.NYM,Northern Illinois Hub Daily Fut,NYM
U8V1320.NYM,CIG Rockies Natural Gas Swing S,NYM
E6N1315.NYM,Japan Naphtha BALMO Swap Future,NYM
EULU1305.NYM,"Daily or weekly future for EUL,",NYM
T6Z1331.NYM,Transco Zone 3 Natural Gas Swin,NYM
Y9M1305.NYM,Y9 Future JUN 05 2013,NYM
NFQ17.NYM,MichCon Natural Gas Basis Swap ,NYM
KGFFF4.EX,KGFF JAN 14        ,EUX
KWH14.KBT,"Hard Red Winter Wheat Futures,M",KBT
TJ7Q1301.NYM,TJ7 Future AUG 01 2013,NYM
Q5U15.NYM,NYISO zone 5 C 5 MW Peak calend,NYM
SHH1320.NYM,Dominion Appalachia Swing Swap ,NYM
HAF13.CME,Weather Monthly Heating Degree ,CME
QCU14.CMX,"Copper miNY Futures,Sep-2014",CMX
